@relation alpha2
@attribute a1 {a,b,c,d,e,f}
@attribute a2 {a,b,c,d,e,f}
@attribute a3 {a,b,c,d,e,f}
@attribute a4 {a,b,c,d,e,f}
@attribute a5 {a,b,c,d,e,f}
@attribute a6 {a,b,c,d,e,f}
@attribute a7 {a,b,c,d,e,f}
@attribute a8 {a,b,c,d,e,f}
@attribute a9 {a,b,c,d,e,f}
@attribute a10 {a,b,c,d,e,f}
@attribute class {yes,no}
@data
f,a,c,f,d,a,a,d,e,d,no
d,a,e,b,c,d,b,a,e,b,yes
d,a,a,f,f,e,c,b,f,a,no
e,a,a,f,c,a,f,c,b,f,no
a,f,e,b,b,d,a,d,c,c,no
b,f,f,c,a,c,f,c,a,b,no
e,d,c,a,a,e,a,b,a,a,no
c,b,b,b,e,a,a,f,c,d,no
f,b,d,e,f,a,b,c,a,e,no
c,f,a,c,b,d,b,a,f,e,no
a,b,f,a,e,f,c,d,b,e,yes
c,d,c,b,f,b,b,b,f,d,no
d,c,f,c,e,e,a,b,b,b,no
a,e,d,d,d,e,f,c,c,e,no
d,e,c,f,c,e,e,e,b,e,no
a,d,a,f,a,c,a,a,a,b,no
d,d,d,b,c,c,c,d,d,a,no
a,d,f,c,f,c,d,e,d,d,yes
e,a,e,f,f,d,f,c,b,d,no
f,b,f,e,d,e,f,f,c,c,no
b,e,e,e,e,f,d,c,f,d,no
b,f,d,c,b,d,c,a,f,f,no
c,d,e,d,d,a,d,c,c,c,yes
e,e,b,e,c,e,a,a,d,f,no
f,f,d,f,a,e,f,d,a,a,no
d,b,a,b,f,e,e,b,e,b,no
f,d,c,f,b,c,d,b,f,e,no
c,b,d,a,b,f,c,f,b,c,yes
e,b,c,b,d,f,e,f,c,b,yes
b,d,d,f,f,f,b,c,d,a,no
d,c,a,a,f,a,e,c,d,f,no
d,f,b,d,b,d,e,c,f,c,no
d,c,b,d,f,f,c,d,d,a,no
f,c,f,d,f,e,f,f,b,b,no
a,b,f,e,b,a,d,f,c,c,yes
a,f,e,d,b,a,a,d,e,f,no
e,c,e,b,d,c,a,c,c,b,no
b,e,a,f,b,b,c,c,c,d,no
f,c,f,f,d,a,f,a,a,d,no
c,b,b,e,d,f,b,a,f,c,no
e,b,f,b,a,c,b,d,e,b,no
d,d,e,d,b,c,e,c,c,c,no
c,c,e,a,e,a,d,b,c,c,no
a,c,d,b,c,f,a,d,c,a,yes
a,f,b,f,a,a,c,a,c,b,no
b,e,b,c,b,b,c,a,c,c,no
f,f,b,b,c,e,c,d,d,f,yes
c,b,e,a,e,a,f,b,e,c,no
b,a,e,b,f,f,f,c,e,f,no
d,d,b,b,e,f,f,e,a,f,yes
a,b,b,e,c,d,b,b,c,a,no
e,f,b,b,a,e,f,e,a,b,no
f,f,f,c,b,b,f,c,c,a,no
b,a,f,e,d,d,b,d,e,f,no
c,c,b,f,c,f,f,f,a,f,no
e,f,f,d,d,d,d,b,e,d,no
a,e,d,a,b,f,e,f,d,c,yes
c,e,f,a,b,c,e,d,c,f,yes
e,d,d,a,a,b,c,f,e,e,no
a,d,b,e,c,e,f,b,f,f,no
a,d,b,a,c,c,d,f,b,b,no
f,c,a,e,c,b,e,e,c,b,no
d,a,b,e,b,a,f,b,f,f,no
e,d,f,c,f,e,a,e,f,e,no
b,d,e,a,b,b,d,e,e,a,yes
c,f,e,a,b,a,b,b,c,d,no
e,e,d,d,a,b,b,e,c,f,no
f,c,f,f,c,d,f,e,a,d,no
c,a,d,f,f,d,f,a,f,e,no
c,b,b,b,c,c,b,a,d,b,no
e,a,e,d,c,d,b,f,f,c,no
e,f,a,d,a,f,d,c,a,f,no
b,f,c,b,a,c,f,c,f,a,no
e,c,d,e,e,b,d,d,b,c,no
e,a,a,f,d,f,a,f,e,c,no
a,b,d,c,e,f,e,e,d,c,yes
e,d,e,f,a,b,d,d,a,b,no
f,f,d,d,e,f,d,e,f,b,yes
e,c,e,a,a,e,b,c,e,f,no
e,c,c,c,a,d,b,e,f,c,no
b,d,a,b,a,e,d,b,e,e,no
e,c,f,f,a,d,c,a,b,f,no
b,a,a,c,b,b,f,c,d,b,no
e,c,c,f,e,c,d,c,f,a,no
d,b,e,d,f,e,f,a,b,a,no
a,d,b,d,d,b,e,c,b,a,no
b,f,e,f,d,e,b,e,e,a,no
a,e,c,d,a,e,a,a,b,b,no
a,d,e,e,b,d,d,c,b,f,yes
f,a,f,c,d,a,d,b,e,f,no
c,b,a,d,b,a,f,b,a,e,no
d,b,f,e,f,e,e,e,a,d,no
c,d,c,b,c,f,e,d,e,c,yes
b,d,b,c,e,a,b,c,d,f,no
d,f,e,f,d,f,a,e,c,a,no
d,c,c,e,b,c,b,d,b,b,no
a,e,e,a,b,d,e,e,c,b,yes
d,f,f,e,a,b,c,d,f,f,no
c,c,c,e,f,b,f,f,c,b,no
c,a,c,f,f,b,b,b,e,d,no
c,e,c,e,a,c,b,f,c,a,no
d,a,f,a,f,d,f,a,e,e,no
c,c,b,e,e,c,b,a,e,e,no
a,f,f,a,f,c,c,f,e,b,no
f,f,b,b,b,e,e,b,f,d,no
f,b,a,d,f,e,d,b,e,c,no
b,f,e,d,e,b,f,d,b,e,no
c,a,f,c,c,a,b,c,b,b,no
d,b,e,e,c,d,a,b,f,f,no
b,e,d,e,d,e,b,a,d,a,no
b,d,d,f,f,c,f,d,c,c,no
b,c,f,e,f,b,d,d,a,b,yes
c,c,b,c,a,e,b,f,c,b,no
a,e,e,c,e,e,b,b,c,d,no
e,b,a,c,a,f,e,d,a,e,no
f,e,b,c,b,d,a,d,f,d,no
a,a,a,b,b,e,b,f,a,f,no
e,a,a,d,e,d,e,c,f,c,no
d,d,d,d,c,d,b,c,c,f,no
a,b,d,a,a,c,c,b,f,d,yes
c,c,c,c,f,e,b,c,d,e,no
b,d,b,b,f,e,f,b,c,d,no
b,b,f,d,d,d,d,b,d,d,no
e,f,b,e,b,d,d,b,d,d,no
d,f,e,b,b,c,a,f,e,c,no
e,c,c,d,b,d,d,a,d,a,no
f,d,f,b,c,d,a,e,d,b,yes
a,e,f,d,f,a,c,d,c,d,yes
d,a,b,e,a,b,e,f,f,b,no
b,b,b,a,b,f,f,d,f,b,yes
e,b,b,c,b,e,b,b,f,c,no
c,f,f,f,f,c,d,e,d,f,no
b,c,f,e,a,b,e,f,e,a,yes
d,b,d,d,c,e,f,c,c,e,no
e,a,a,d,b,b,a,c,a,f,no
a,f,c,b,b,f,e,b,e,e,no
d,d,f,a,c,e,b,c,a,d,yes
d,b,b,b,f,d,a,f,d,c,no
c,c,d,f,a,e,b,f,e,f,no
c,d,f,c,e,b,c,b,a,e,yes
c,f,e,a,d,c,d,d,c,d,no
e,d,f,b,b,c,f,d,f,b,no
f,a,c,e,e,a,b,f,c,f,no
d,d,a,a,c,d,f,f,b,c,yes
b,e,a,a,a,f,f,e,c,e,no
c,c,f,a,c,f,c,d,e,e,yes
c,e,f,d,e,c,b,c,e,e,yes
a,d,b,e,a,c,e,e,f,d,no
d,e,a,a,d,c,c,b,c,a,no
a,b,d,e,c,b,e,a,f,a,yes
f,a,d,e,e,a,d,f,f,a,no
e,c,a,d,e,f,a,e,e,d,yes
a,d,a,c,b,e,e,e,a,d,no
f,a,c,d,d,e,c,e,b,d,no
c,e,e,a,e,c,b,c,c,f,no
e,d,e,f,f,f,b,b,f,b,no
c,b,d,d,b,b,a,f,b,d,no
b,b,e,a,a,f,b,d,e,f,no
e,f,c,b,d,f,a,b,c,e,yes
f,d,b,d,b,d,d,e,d,b,no
a,e,d,e,b,d,e,d,b,d,no
c,d,b,d,f,b,b,b,d,b,no
d,a,d,d,f,b,a,a,d,e,no
e,f,f,d,f,d,c,d,d,a,no
a,e,d,b,f,d,b,e,c,c,no
b,c,f,e,d,e,f,e,d,b,yes
c,a,f,d,e,e,d,a,a,d,no
a,b,e,f,a,d,d,e,e,d,yes
d,d,a,a,c,b,b,d,b,c,no
e,c,d,e,c,c,e,d,c,d,no
f,d,d,f,c,d,a,a,e,a,no
f,e,e,e,a,b,d,f,d,b,no
b,e,d,c,a,c,f,a,b,a,no
e,e,c,e,c,c,f,e,c,a,no
d,c,b,f,f,d,d,f,f,e,no
d,c,a,e,e,e,c,f,b,f,no
f,b,c,c,c,d,e,a,b,b,no
b,c,c,b,c,e,c,e,f,e,yes
c,b,a,d,c,a,c,e,e,c,no
e,a,f,a,c,e,b,f,a,e,yes
e,f,f,c,a,a,d,e,e,b,no
f,a,e,e,a,d,b,c,e,d,no
c,a,a,e,b,d,c,f,e,d,no
a,b,e,c,f,d,e,e,e,a,yes
b,f,b,c,a,c,b,f,d,c,no
c,d,f,d,b,b,d,e,d,a,yes
c,a,d,f,d,c,c,e,e,c,no
e,a,f,d,c,e,c,f,f,d,no
f,c,a,a,e,c,d,f,e,a,no
f,f,e,b,a,a,c,b,f,d,no
b,d,b,f,f,f,d,d,e,e,no
e,d,d,c,d,b,b,a,f,f,no
e,c,f,e,f,d,d,c,a,f,no
b,f,e,a,e,f,b,a,e,e,yes
c,d,e,f,f,c,b,b,d,e,yes
d,d,f,a,f,f,b,f,b,e,no
e,b,b,c,f,c,c,e,a,c,no
c,f,b,f,d,f,c,e,d,f,no
b,a,b,a,a,b,b,b,a,d,no
e,b,a,a,b,e,f,d,f,f,yes
c,c,b,b,c,d,a,c,e,d,yes
e,b,d,e,b,e,f,d,f,d,no
b,a,d,d,e,e,e,c,b,a,no
d,a,d,e,f,e,c,a,b,c,no
f,d,c,f,e,d,b,f,a,f,no
c,a,f,c,f,e,a,e,f,b,no
b,f,d,a,f,d,f,a,d,b,no
a,c,c,b,e,f,f,a,d,e,yes
f,b,a,a,f,a,b,e,f,d,no
c,a,e,d,c,d,c,d,e,d,no
a,b,a,a,b,b,d,b,c,c,no
e,b,d,e,a,b,c,c,f,a,no
e,f,d,f,d,e,e,d,d,e,no
e,b,c,d,d,c,c,c,e,f,no
e,c,e,f,a,e,d,f,e,f,no
c,f,c,b,f,e,d,d,a,b,no
e,c,f,e,e,c,c,b,c,e,no
e,c,e,c,d,d,e,f,a,e,no
d,c,c,b,d,d,c,f,a,e,no
f,c,c,b,d,d,e,f,f,f,no
b,c,c,a,d,e,d,f,e,b,yes
f,c,a,a,b,b,f,f,d,a,no
e,d,d,a,f,f,f,f,e,c,no
e,b,f,b,d,e,d,d,a,f,yes
c,a,f,a,c,f,d,f,a,f,yes
f,d,b,d,d,f,b,e,a,a,no
e,d,b,d,a,f,f,b,e,e,no
d,b,c,e,a,c,a,f,c,d,no
f,e,b,b,c,f,f,e,b,e,yes
e,e,e,b,b,b,f,b,f,b,no
a,a,e,e,d,b,a,b,b,d,no
d,a,a,e,b,a,b,e,a,d,no
d,d,d,f,f,e,e,b,b,e,no
a,f,e,b,f,d,b,f,d,e,no
f,c,c,a,f,c,e,f,c,b,no
c,d,b,f,b,f,c,e,b,b,no
f,c,a,f,c,e,c,e,a,c,no
d,d,d,f,b,e,d,e,c,d,no
c,b,d,e,f,e,f,e,b,f,no
a,d,f,f,c,d,c,b,f,f,yes
d,d,d,f,a,d,a,d,e,a,no
f,c,a,f,e,c,e,c,a,b,no
b,e,f,f,e,c,a,b,d,e,yes
b,e,a,c,f,c,c,c,d,a,no
c,d,d,a,d,b,b,a,e,b,no
c,b,a,f,d,b,b,c,c,d,no
c,a,c,c,d,e,a,f,e,c,yes
f,e,f,d,b,e,e,f,e,d,no
f,c,b,e,f,a,c,f,e,d,no
c,f,a,f,e,a,a,f,d,d,no
f,e,e,e,e,f,d,d,b,a,no
b,f,e,d,d,a,d,c,e,f,no
b,d,a,a,e,f,f,a,a,c,yes
f,b,f,d,c,b,f,d,b,a,no
c,f,a,e,b,d,d,f,d,e,no
b,d,e,e,f,b,c,d,b,e,yes
c,f,f,e,b,a,b,c,e,b,no
a,d,c,f,d,b,e,f,a,b,no
e,b,f,a,d,d,b,b,c,a,no
f,b,d,b,d,c,c,f,d,a,no
c,f,b,e,c,e,f,a,a,b,no
a,a,e,e,e,c,d,a,d,e,no
f,d,e,c,d,f,c,f,a,b,yes
a,d,d,e,e,c,b,f,c,a,no
b,e,f,f,d,e,a,d,d,c,yes
e,a,f,d,e,f,a,b,b,d,yes
e,a,d,e,c,a,d,e,e,f,no
d,f,b,d,e,a,a,e,c,c,no
d,b,d,c,a,a,c,e,e,a,no
c,d,d,a,a,e,f,a,e,c,no
b,b,f,b,f,c,d,e,c,d,no
a,d,d,e,d,e,e,a,b,e,no
c,b,c,f,f,a,d,a,e,b,no
c,a,b,b,f,b,d,b,b,e,no
c,c,e,a,d,f,c,b,e,a,yes
f,d,b,e,d,c,b,e,c,d,no
b,d,a,e,d,e,f,f,d,e,no
f,e,f,f,b,f,f,e,b,a,no
f,e,d,d,a,b,c,d,a,c,no
f,a,c,c,e,e,d,a,c,e,no
b,f,f,b,f,f,a,a,a,d,no
d,b,c,e,c,d,d,d,f,c,no
a,b,f,a,e,c,a,e,a,a,yes
c,f,c,f,e,e,f,e,b,b,no
a,e,f,b,d,d,a,a,a,d,yes
a,d,a,e,a,a,c,c,c,b,no
b,f,f,d,e,d,c,f,e,d,no
b,c,b,b,c,a,d,f,d,e,no
d,f,e,d,b,c,c,f,c,b,no
d,e,c,d,f,f,f,b,f,a,no
e,e,e,a,e,c,b,e,f,b,no
a,d,c,a,f,f,e,e,d,b,no
e,c,c,d,d,c,d,c,a,d,no
f,a,e,c,b,c,e,f,c,c,no
f,b,e,e,e,b,e,f,d,e,no
b,b,c,e,b,c,a,f,f,c,no
f,f,e,a,b,e,a,b,c,e,yes
a,f,c,f,b,d,f,c,d,c,no
b,e,a,f,a,b,c,e,a,c,no
a,d,b,e,d,c,f,f,e,c,no
a,f,c,c,b,e,c,c,f,e,no
f,c,f,f,f,d,f,f,c,e,no
b,d,a,b,a,e,a,c,d,b,no
a,a,b,e,e,b,a,c,d,e,no
b,f,f,a,f,f,e,a,b,e,no
f,d,e,d,f,e,c,d,c,b,no
e,e,e,b,a,b,a,a,c,b,no
f,a,b,a,f,d,e,e,d,b,no
f,d,a,d,f,e,a,c,b,e,no
a,e,e,b,e,c,f,b,d,d,no
e,e,c,c,a,b,e,d,d,d,no
d,a,b,a,a,c,d,b,d,f,no
f,f,d,f,e,f,f,b,e,c,no
d,a,e,e,d,a,e,d,b,d,no
c,e,d,f,d,c,d,b,f,c,no
d,c,b,f,a,f,d,f,c,c,no
b,b,b,b,f,f,d,b,f,c,no
f,b,a,e,d,b,e,b,e,f,no
b,c,a,d,f,a,f,b,b,a,no
d,e,c,f,e,d,c,d,a,c,no
e,a,b,f,a,c,e,a,a,e,no
c,c,c,b,c,e,a,a,f,d,yes
d,e,b,f,c,c,e,c,e,f,no
c,a,a,d,f,e,c,b,e,e,no
d,d,a,d,b,c,d,e,e,d,no
d,d,a,b,e,c,f,f,c,d,no
d,d,c,c,c,b,a,b,f,b,no
d,a,b,e,d,e,c,e,e,a,no
d,f,c,c,c,e,f,a,a,d,no
c,f,e,b,c,b,b,c,a,d,no
e,e,a,f,e,f,a,b,a,e,no
d,e,e,a,b,f,a,b,e,f,yes
d,c,e,c,a,a,d,b,e,a,no
d,c,a,f,f,d,d,a,c,c,no
e,d,b,c,f,e,e,b,f,f,no
a,b,e,c,e,f,d,e,e,c,yes
e,d,d,a,b,f,b,a,b,f,yes
d,b,d,c,d,c,a,b,e,a,no
b,a,e,a,a,d,c,e,e,e,no
a,a,c,d,c,a,e,b,f,a,no
d,a,a,e,e,a,a,f,b,e,no
a,a,d,f,c,f,f,d,d,f,no
d,e,e,b,d,a,f,d,e,e,no
e,c,b,d,a,c,b,a,a,a,no
d,d,b,e,a,c,a,c,b,e,no
d,e,d,f,c,f,b,f,c,e,no
d,c,b,f,d,c,a,c,c,b,no
e,d,e,d,a,c,f,e,d,d,no
a,a,d,f,f,d,b,e,e,a,no
a,d,a,f,e,d,b,d,b,d,no
c,e,c,c,e,e,d,b,f,a,no
b,c,e,f,e,e,a,b,b,d,yes
a,e,a,c,e,a,a,b,b,c,no
b,b,e,c,e,e,a,c,d,a,no
a,d,c,f,a,d,b,e,b,e,no
a,c,c,f,d,a,f,c,d,d,no
d,b,b,a,d,f,c,d,a,c,yes
d,d,c,d,c,a,f,f,f,c,no
e,b,e,b,f,c,a,a,d,c,no
b,d,f,e,c,d,a,a,a,f,yes
c,a,a,f,e,a,b,c,d,b,no
e,b,a,f,f,b,a,d,f,c,no
e,a,a,e,c,e,a,c,f,d,no
f,c,d,f,b,f,d,b,d,b,no
c,e,d,d,f,f,c,f,b,c,no
d,e,d,d,e,e,e,d,a,a,no
f,f,f,c,b,c,e,f,c,f,no
e,d,e,c,f,c,e,e,d,d,no
c,f,d,d,c,c,e,a,b,e,no
e,e,e,a,c,f,e,b,e,d,yes
e,e,b,d,f,e,b,d,a,b,no
a,b,b,d,d,c,e,e,a,e,no
a,a,f,c,f,f,a,d,b,c,no
f,e,b,c,c,d,c,c,c,e,no
d,d,f,b,d,d,e,d,d,b,no
e,a,d,f,b,b,b,b,b,c,no
c,f,f,b,d,a,d,d,d,c,no
e,e,f,e,c,e,e,b,c,b,no
e,c,d,d,c,e,a,b,e,b,no
c,e,d,c,e,e,b,b,b,d,no
a,e,c,a,c,d,e,f,e,f,yes
e,d,c,d,a,f,e,e,f,d,no
e,c,f,f,c,f,c,a,b,e,no
f,f,e,f,f,a,c,e,f,a,no
e,e,a,b,d,f,b,b,d,f,yes
c,e,b,d,a,d,c,a,c,d,no
b,b,d,b,b,f,c,d,e,a,no
f,d,c,d,c,d,a,f,f,e,no
f,f,a,a,f,b,f,d,b,a,no
e,d,f,f,a,c,a,b,e,f,no
d,b,a,b,a,c,b,c,c,e,no
a,a,f,a,f,f,f,b,a,d,no
b,e,b,c,c,c,e,e,f,b,no
d,e,c,c,a,b,f,f,f,f,no
e,f,a,d,f,e,e,e,c,c,no
b,d,d,a,e,e,d,a,b,f,no
c,a,a,f,d,d,a,d,d,c,no
d,c,e,c,b,d,f,b,a,a,no
f,f,c,e,f,b,e,b,f,e,no
c,a,c,e,e,b,b,b,c,b,no
e,a,f,e,a,a,a,b,c,b,no
f,f,a,d,e,f,a,c,b,d,yes
c,c,f,f,f,e,a,f,b,a,no
e,f,d,f,a,a,e,d,f,c,no
e,b,c,d,a,d,f,a,a,d,no
e,a,d,e,d,e,b,a,b,f,no
f,f,e,a,a,a,d,e,d,a,no
a,a,d,a,c,d,c,a,d,d,yes
d,f,f,a,d,b,b,e,a,c,no
a,f,c,b,a,b,f,b,a,a,no
d,e,f,b,b,c,c,c,b,a,yes
b,f,b,e,e,e,e,c,e,e,no
a,c,e,d,d,b,e,a,c,f,yes
a,b,e,c,c,a,b,c,b,b,yes
b,c,b,c,c,c,b,a,b,e,no
f,e,c,b,d,d,b,c,f,d,no
a,c,a,c,d,a,c,b,b,c,no
a,e,c,a,f,e,f,b,d,b,no
d,a,e,e,c,d,a,f,a,d,no
f,f,b,c,b,b,c,f,b,a,no
d,f,b,d,e,e,d,c,a,b,no
e,c,c,b,c,d,c,b,c,a,yes
c,b,c,e,f,f,c,b,d,c,no
e,e,e,f,b,a,c,d,f,b,no
e,a,c,f,d,a,d,a,b,a,no
b,a,f,e,b,c,f,b,d,c,no
c,c,e,c,a,d,f,b,e,f,no
d,d,d,c,e,c,b,f,b,d,no
a,e,e,a,a,d,f,c,b,c,no
f,b,c,d,a,e,e,f,e,c,no
c,a,f,e,d,f,f,e,d,d,no
a,c,f,e,c,b,f,a,c,d,yes
d,e,a,f,e,f,b,e,a,f,no
d,a,f,f,a,f,b,d,f,e,no
d,e,d,a,f,b,c,b,a,a,no
b,d,a,d,e,c,b,f,b,f,no
a,b,a,b,a,d,e,a,b,a,no
a,a,d,f,c,b,d,d,d,b,no
e,d,e,c,a,b,b,f,b,e,no
f,e,e,f,c,a,b,d,b,e,no
f,c,e,b,f,c,f,d,a,a,no
a,b,c,c,b,b,b,a,d,a,yes
f,f,d,b,e,f,a,e,d,a,yes
b,d,b,b,e,a,e,c,c,b,no
a,e,a,f,d,b,c,d,e,a,no
d,b,d,d,b,e,b,f,b,f,no
d,b,e,d,c,b,b,b,e,b,no
b,e,f,f,b,d,b,d,a,e,yes
b,e,d,d,e,c,a,a,f,f,no
e,f,e,f,d,f,a,e,f,e,no
f,c,d,e,d,b,e,f,d,c,no
d,c,c,c,e,d,b,a,b,b,no
b,d,a,d,f,e,e,b,d,d,no
e,a,a,d,d,b,f,c,e,f,no
a,d,b,a,d,b,d,f,c,a,no
e,f,f,f,b,c,c,b,b,a,no
a,a,d,a,e,d,d,f,b,f,no
a,c,c,f,e,c,f,b,d,e,no
d,d,a,f,b,b,e,b,a,c,no
e,b,f,e,e,c,e,b,e,d,no
b,d,b,b,a,f,e,a,b,f,no
b,f,a,e,b,b,a,c,c,e,no
b,c,f,a,c,a,d,d,e,e,yes
f,a,a,c,f,b,b,a,e,d,no
c,d,b,c,d,b,e,b,e,c,no
c,f,e,f,d,b,c,e,a,c,no
f,b,a,e,c,d,b,a,e,b,no
a,e,c,b,a,c,c,b,b,b,no
d,c,d,b,c,c,a,c,f,f,no
a,b,a,b,e,b,d,e,a,c,no
b,b,e,b,c,f,d,f,f,d,yes
f,f,b,a,f,b,b,f,e,c,no
d,c,d,c,b,f,a,e,d,d,no
f,a,e,b,a,c,f,a,c,d,no
b,a,b,d,b,d,b,b,a,b,no
d,c,d,f,e,c,d,d,a,a,no
d,f,b,c,a,c,a,f,b,f,no
e,a,f,a,f,e,f,f,c,b,no
e,c,f,c,d,e,e,e,d,d,yes
e,d,e,a,c,d,b,f,a,d,yes
a,c,f,a,b,b,b,a,b,e,yes
b,d,a,d,b,a,b,f,c,a,no
c,c,e,f,e,d,f,c,f,f,no
e,f,b,f,a,b,e,e,c,d,no
c,c,b,f,e,f,f,b,b,c,no
a,a,e,c,a,e,b,a,f,b,no
c,a,f,b,b,c,d,e,e,d,no
b,e,c,e,c,d,b,f,f,b,no
a,d,d,d,c,d,b,f,f,f,no
f,d,e,b,d,d,b,b,a,e,no
c,c,e,f,d,f,b,c,a,a,no
f,c,c,a,d,a,b,c,f,d,no
e,e,e,a,b,c,e,a,e,f,yes
a,b,b,d,a,c,e,d,d,d,no
f,d,f,b,f,c,c,e,b,d,no
c,e,e,d,a,c,f,b,f,b,no
d,b,d,d,b,a,a,b,f,a,no
d,c,b,d,d,b,c,a,b,f,no
c,d,e,e,a,e,c,a,a,b,yes
c,a,b,b,a,e,b,a,e,a,no
c,d,c,b,d,f,f,a,b,a,yes
d,d,f,f,c,e,f,b,f,f,no
c,a,a,f,e,c,d,a,c,d,no
d,d,e,b,c,f,f,a,e,e,yes
c,d,c,b,c,c,a,e,f,c,no
a,e,f,a,b,c,e,a,f,f,yes
d,d,f,e,f,c,c,f,a,c,no
b,e,c,f,f,c,b,b,d,e,no
c,a,a,b,b,e,d,e,e,c,no
f,a,f,d,d,e,f,a,e,a,no
d,e,f,e,d,b,f,f,a,f,yes
c,b,e,b,d,c,a,b,a,a,no
c,e,b,a,e,e,a,e,c,b,no
a,e,a,c,e,d,f,d,b,c,no
d,b,d,e,d,c,e,f,a,e,no
f,c,f,f,a,b,e,d,b,b,no
d,c,e,f,c,f,d,c,d,c,no
e,b,c,e,c,d,c,b,d,a,no
f,a,c,c,d,f,b,f,a,a,yes
e,a,c,b,a,e,c,f,e,c,no
f,a,b,d,f,f,e,e,c,f,no
c,f,d,e,e,f,c,e,b,b,no
f,e,a,e,b,a,f,a,c,f,no
d,e,b,b,c,a,e,d,b,a,no
b,e,f,f,f,f,f,d,f,c,yes
d,a,e,a,b,f,b,c,b,f,yes
f,f,c,d,e,d,c,f,b,d,no
f,e,f,f,e,a,a,a,d,c,no
d,f,f,f,a,f,d,f,e,b,no
d,c,e,d,f,c,a,a,a,f,no
f,c,e,c,a,b,e,d,e,c,no
b,f,d,f,a,e,f,a,e,b,no
c,e,e,b,e,a,e,a,d,a,no
d,c,d,d,e,c,a,e,f,b,no
c,b,b,d,e,a,a,d,c,e,no
c,e,e,f,a,c,a,f,c,c,no
e,f,e,f,d,e,c,d,e,e,no
c,c,c,e,f,e,b,a,d,b,no
e,b,c,e,e,e,c,f,a,b,no
d,a,f,d,b,a,a,e,e,f,no
a,f,e,f,d,b,b,c,b,b,no
d,f,b,f,e,d,a,d,e,a,no
a,b,f,b,a,c,b,c,e,b,yes
d,e,e,a,c,e,c,f,f,a,yes
c,f,c,d,f,e,e,c,f,e,no
a,f,b,a,c,e,d,e,d,f,yes
c,a,a,d,b,e,f,f,e,a,no
f,a,e,e,b,f,f,a,a,b,no
f,f,d,d,e,d,e,a,d,a,no
e,c,f,d,e,b,f,c,f,e,no
c,d,f,d,a,b,a,e,d,e,yes
a,a,e,e,c,d,a,e,a,a,no
a,c,f,e,c,f,a,e,c,d,yes
b,d,e,d,e,c,b,e,a,b,yes
d,f,f,e,c,d,b,e,f,f,no
e,b,a,f,c,b,b,b,a,e,no
d,d,c,c,e,b,a,f,b,e,no
e,d,f,a,b,a,c,e,b,a,no
e,d,e,c,e,d,c,e,b,e,no
d,f,a,a,c,e,d,a,d,a,yes
d,f,d,c,b,d,a,c,f,c,no
d,f,e,f,c,a,a,d,e,f,no
f,b,f,c,b,a,c,a,e,b,no
e,f,c,e,c,c,f,e,a,a,no
e,d,e,c,b,e,c,c,e,f,no
f,c,f,b,c,c,f,c,e,f,no
a,d,e,b,f,b,b,c,b,e,yes
f,f,f,a,b,e,a,e,b,c,yes
b,c,e,e,c,f,f,b,a,a,yes
b,b,e,b,b,c,e,f,f,f,no
d,f,f,d,c,f,d,f,e,e,no
f,b,b,b,e,c,f,c,e,f,no
a,b,b,a,c,c,a,a,d,b,no
b,a,d,c,b,d,b,d,c,b,no
e,e,a,d,c,e,b,b,e,b,no
a,f,c,d,a,f,d,b,d,b,no
e,f,a,d,f,a,f,f,b,a,no
f,b,a,e,a,e,b,b,c,f,no
e,f,c,a,c,f,b,e,e,b,yes
c,b,a,d,f,c,b,d,f,b,no
b,f,b,a,b,f,f,d,e,e,yes
e,c,c,b,a,c,e,d,a,a,no
b,d,e,c,b,d,c,d,a,f,yes
d,c,c,d,b,c,a,f,c,e,no
f,b,f,a,c,a,e,f,b,b,no
e,c,c,a,d,f,f,b,a,b,yes
e,f,b,f,a,e,e,a,d,e,no
f,e,c,a,d,b,d,d,f,b,no
b,d,b,a,a,c,c,e,b,b,no
a,b,d,e,c,c,d,c,a,f,yes
a,d,e,a,a,b,d,f,e,c,yes
f,d,a,f,f,d,f,c,a,d,no
b,d,b,c,e,b,c,d,b,d,no
c,f,e,f,d,a,d,c,b,d,no
e,c,e,a,a,d,c,d,f,c,no
c,f,b,c,a,d,e,f,d,d,no
a,b,a,a,b,f,c,e,f,f,yes
a,f,d,c,e,a,a,d,d,a,no
a,f,d,c,a,d,d,a,b,b,no
d,e,d,a,e,d,f,e,f,a,no
f,b,f,e,e,f,f,f,e,f,no
e,b,c,f,b,e,a,e,f,d,no
c,e,a,f,e,e,a,f,c,a,no
f,f,d,a,f,b,e,b,f,e,no
e,f,c,d,b,d,d,b,d,c,no
b,a,a,e,c,a,f,d,e,a,no
e,a,a,a,d,d,b,a,b,d,no
f,b,b,b,a,f,d,a,b,d,no
a,f,a,c,c,b,a,b,d,f,no
b,e,b,a,a,b,a,a,d,c,no
e,d,d,c,d,b,d,b,a,d,no
b,e,f,a,d,c,f,e,a,b,yes
b,b,d,c,c,d,d,e,c,c,no
c,d,e,c,b,b,a,e,f,d,yes
a,b,d,c,c,f,c,b,b,d,yes
e,c,d,a,b,b,e,e,f,f,no
d,b,f,b,d,d,f,a,f,e,no
f,b,d,f,c,a,f,b,c,f,no
a,b,b,b,c,e,c,a,b,f,yes
d,d,a,b,a,c,a,d,b,d,no
